keyword,edited_text,is_euph,category,type,euph_status
weed,"That wasn't the case in the early 20th century, however. In the 1930s, after the release of the hyperbolic anti-marijuana film Reefer Madness, people took its claims-- that smoking <weed> leads to killing, suicide, rape and general insanity-- seriously, because most had no idea what marijuana was @ @ @ @ @ @ @ @ @ @ to reject the idea that it could cause irrational violence or moral deviance. ",1,substances,weed,sometimes_euph
disabled,"Naturally no commander is going to cut thin the margin between staying afloat and foundering, but he may nevertheless unwittingly pass the danger point even though @ @ @ @ @ @ @ @ @ @ on going as long as the severity of wind and sea has not yet come close to capsizing them or breaking them in two, may nevertheless become helpless to avoid these catastrophes later if things get worse. By then they may be unable to steer any heading but in the trough of the sea, or may have their steering control, lighting, communications, and main propulsion <disabled>, or may be helpless to secure things on deck or to jettison topside weights. The time for taking all measures for a ship's safety is while still able to do so. ",0,physical/mental attributes,disabled,sometimes_euph
making love,"Cooking, gardening, <making love>-I love these elemental activities which know neither class nor culture. When I shoot, a similar pleasure comes. ",1,sexual activity,make love,always_euph
troubled,"My parents' four and a half decades were not easy and were far from simple. Both were refugees from <troubled> childhoods, and their early marriage was built on mutual respect and love. But with the years, their relationship foundered at times on the shoals of serious @ @ @ @ @ @ @ @ @ @ never doubted that they loved each other deeply. ",1,physical/mental attributes,troubled,sometimes_euph
pro-choice,"I believe he is ultimately <pro-choice> but has severe moral qualms about it, just as I do. He originally supported Roe vs Wade and was a pretty strong advocate for it, but over the years he also began to see some pretty bad unintended consequences with the law and on society as a whole. ",1,politics,pro-choice,always_euph
a certain age,"Today, gay people of <a certain age> may feel as though they had stepped out of a lavender time machine. That's the sensation that hit me when I watched the @ @ @ @ @ @ @ @ @ @ name of the President-elect. ",1,physical/mental attributes,a certain age,sometimes_euph
intoxicated,"But both of us-- consumer and producer-also have the tools to do research that is a bit deeper, to weigh evidence, to build an intellectual foundation for the stories we produce and view-- so why do we often have such trouble doing so? It is as if we are a bit <intoxicated> on our own power to communicate, and building something slowly, or researching a bit more about something, is just too much effort-- it's easier to just ""like"" it. ",0,substances,intoxicated,sometimes_euph
disabled,"In order to sin you have to have a certain amount of knowledge and understanding, have a mind, have the ability to choose to do it or refrain from doing it. These things are all true of angels and humans who have the necessary mental ability (I say necessary because some human persons, babies and the mentally <disabled> lack the necessary mental ability to sin). ",1,physical/mental attributes,disabled,sometimes_euph
over the hill,"And I didn't want to play a video game. If I should dislike it, I already had a preview of the response awaiting me: I was too old, I was <over the hill>, I was too aged it ""get it."" That became the mantra: ""Ebert doesn't get it."" I disagreed with them about age, which I know more about than most of them, but I had some sympathy about the concept of not ""getting it."" There are many, many things I believe many members of our society don't ""get,"" but I @ @ @ @ @ @ @ @ @ @ to ""get"" them, only differently evolved.",1,physical/mental attributes,over the hill,sometimes_euph
perish,An obvious solution is for the libraries themselves to be held accountable for budgets by the people who fund @ @ @ @ @ @ @ @ @ @ librarians and universities are tasked with getting best value for them-- or else. This might entail the libraries themselves hosting the servers-- treating the publications like' big data' in a distributed sense-- Then onto the issue of the current publish or <perish> deluge of papers. There needs to be an' API'-- a class library as it were of accepted wisdom.,0,death,perish,sometimes_euph
expecting,"the more the merrier! we both come from bigger families, (me 5 my hubsand 6) but we are also young, we have one who is 20 months adn im <expecting> my 2nd! similiar story to yours, our first happened on our honeymoon, so i kinda imagined it would be the same with this one, but it wasn't! it took exactly 6 months, and the crazy person inside of me was disapointed every month until i saw a + sign good luck! ",1,physical/mental attributes,expecting,sometimes_euph
substance abusers,"When <substance abusers> are presented with information about a longitudinal study they may be in a ""vulnerable"" state (e.g., intoxicated, suffering from withdrawal symptoms or co-occurring mental illness, @ @ @ @ @ @ @ @ @ @ that may impair their ability to weigh the risks and benefits of the study and impede independent decision-making. Diminished autonomy is commonly thought to exist among children because of their incomplete intellectual development and among prisoners because of their altered societal status ( Amdur, 2003). ",1,substances,substance abuser,always_euph
late,"According to Joe Mattes, vice president of e-commerce at Turner Sports, Earnhardt Jr., Gordon and Stewart rank as the top three in sales at NASCAR.com. Earnhardt remains a top-10 seller, but Mattes said the revenue is spread more evenly than 10 years ago, when there was a drop-off in demand beyond the <late> superstar's products. ",1,death,late,sometimes_euph
rear end,"The videos are created as. mov files, but I have also converted them to MP4 to try to isolate the issue to no avail. Before summer, I never had problems, but once I started uploading our church videos again this fall, it has been a pain in the <rear end>. I'm on a 2010 Macbook Pro running Mountain Lion. ",1,physical/mental attributes,rear end,always_euph
a certain age,"In the other extreme, most of the time ""the gorier, the better"" is the token choice for guys in the costume department. Although being scary is fun, after <a certain age> costumes need a level of maturity added to them. For the most part, being directly scary is simple because of its comfort and accessibility. ",0,physical/mental attributes,a certain age,sometimes_euph
global south,"Description: The Yale University Program in Women's, Gender, and Sexuality Studies intends to make @ @ @ @ @ @ @ @ @ @, 2013, in the field of gender, sexuality and transnational migration. We are interested in seeking research on migration across the <Global South>, and especially across and within Africa, Latin America, South-east Asia, and the Caribbean. Scholars in the social and human sciences, humanities, law, environmental studies, as well as those trained in interdisciplinary fields are encouraged to apply. ",1,politics,global south,always_euph
invalid,"Japnig found this dream very striking, so he set forth immediately. Underway he met an old <invalid> on a bridge, who, as is customary asked him how far he was going. ",1,physical/mental attributes,invalid,sometimes_euph
pro-life,"I realize that I can be snippy myself, and I've soul-searched my ""webside manner. "" I ask myself, "" Abby Johnson came over to the <pro-life> community but why, how?"" She didn't convert because of pro-life arguments. She converted of her own accord, based on her own reaction to a series of events. ",1,politics,pro-life,always_euph
custodians,"Those include $ 700,000 slashed from instructional services, including fewer materials for schools and less professional development for teachers. The district also will reduce bus transportation to save $ 225,000, and it will eliminate eight to 10 <custodians> to save $ 500,000. ",1,employment,custodians,always_euph
between jobs,"Have been an active alum. I was able to work my way through and <between jobs>, scholarships and modest borrowing came out only owing a few thousand and then it was NDSL guaranteed at 3%. Now I am still paying a student loan off for a daughter which basically paid for one year of the four she attended (paid most of that, too) but at a public university for tuition that is approximately one fifth the tuition at my alma mater.",0,employment,between jobs,sometimes_euph
overweight,"But that's just not true. @ @ @ @ @ @ @ @ @ @ have increased, calorie consumption still remains within recommended levels and leisure-time physical activity has increased. Also, adult women are those who eat the least amount of calories but yet they are the most <overweight>, at least in the U.S (1). ",1,physical/mental attributes,overweight,sometimes_euph
drinking problem,"Dependency on alcohol, also known as alcohol addiction and alcoholism 4, is a chronic disease. The signs and @ @ @ @ @ @ @ @ @ @ know if I have a <drinking problem>? Drinking is a problem if it causes trouble in your relationships, in school, in social activities, or in how you think and feel. ",1,substances,drinking problem,always_euph
weed,"True, he didn't @ @ @ @ @ @ @ @ @ @ looked back on it fondly post-conversion, thinking that it was something good that happened without even realizing it was good at the time. I'd be more willing to accept that, and an 80s date, than either Kim beeping him for <weed>, booze, and sex when she was eight months pregnant, or her beeping him for weed, booze, and sex after which he dropped her off somewhere and then went to his mom's house-- when he and Kim already had their own house with their one-year-old son. ",1,substances,weed,sometimes_euph
demise,"Though the War of 1812 is remembered as a relatively minor conflict in the United States and Britain, it looms large for Canadians and for Native Americans, who see it as a decisive turning point in their losing struggle to govern themselves. In fact, the war had a far-reaching impact in the United States, as the Treaty of Ghent ended decades of bitter partisan infighting in government and ushered in the so-called ""Era of Good Feelings."" The war also marked the <demise> of the Federalist Party, which had been accused of being unpatriotic for its antiwar stance, and reinforced a tradition of Anglophobia that had begun during the Revolutionary War. Perhaps most importantly, the war's outcome boosted national @ @ @ @ @ @ @ @ @ @ would shape the better part of the 19th century. ##346470 getting on planes with explosives. ",0,death,demise,sometimes_euph
mentally disabled,"The department of interior affairs is planning to count facial injury as a disability, a progressive action. We believe that <mentally disabled> people (with serious mental diseases) in this industrial society, increasing in number, should also enjoy reasonable protection. ",1,physical/mental attributes,mentally disabled,always_euph
dismissed,"Like the continuing presence of the Madonna of La Greize, the survival of the Breezy Point sculpture will be <dismissed> as coincidence by atheists, who-- as they have with the 9/11 Cross-- would have it banned from public property. Agnostics will perhaps pause at the sequence of two religious images emerging out of New York's two most destructive events some 121 months apart. ",0,employment,dismissed,sometimes_euph
put to sleep,"Dave swam, fished, water-skied and clammed every day with 10-year-old Tanner, 6-year-old Gunnar and 5-year-old Connor, reciting the proper name of every fish they caught. Each night, he and Jeff would sneak off to some rustic Baja restaurant, and on one of their last @ @ @ @ @ @ @ @ @ @ sound system. ""It was dark, and the boys had been <put to sleep>, and he goes,' Wow, listen to this song,'"" Jeff recalls. "" It's sort of a medley. It starts out with' Over the Rainbow' and shifts into' What a Wonderful World.'... It said a lot about my dad, I think. ",0,death,put to sleep,sometimes_euph
dismissed,"Egypt and Syria continued to demand the return of the land taken by Israel @ @ @ @ @ @ @ @ @ @ and eventually Egyptian President Anwar Sadat warned that war would come if Israel did not return Egypt's Sinai Peninsula and Syria's Golan Heights. But Kissinger and the Israelis <dismissed> him, as did the US media. ",0,employment,dismissed,sometimes_euph
underprivileged,I honestly think you could put below average teachers there and still end up with similar outcomes. The same is not true of <underprivileged> areas. posted by JPD at 9:21 AM on September 15 1 favorite,1,employment,underprivileged,always_euph
undocumented workers,"<Undocumented workers> in the U.S. do not have the right to request or use unemployment benefits. During the pandemic, they will not receive financial aid-- including the $1,200 stimulus check-- from the federal government. ",1,politics,undocumented workers,always_euph
disadvantaged,"I believe Samsung and its lawyers are very frustrated with Judge Koh because of the two preliminary injunctions she recently granted. Whatever the reason for Samsung's release of material deemed inadmissible evidence may be, it's very unusual for a party to a litigation to claim at the very outset that it is <disadvantaged>. I quoted Samsung's statement to the press further above, and what I find shocking is the final sentence: ""Fundamental fairness requires that the jury decide the case based on all the evidence.""",0,employment,disadvantaged,sometimes_euph
collateral damage,"Your immune system is not your buddy. It's a cellular gang that follows instructions, even if those instructions result in <collateral damage>. ",0,death,collateral damage,sometimes_euph
collateral damage,"In one notable case, Obama ordered the killing of a Pakistani Taliban leader even though he knew that the strike would almost certainly kill his wife and some close family members as well. Obama himself decided that the family members were acceptable <collateral damage> in the War on Terror, and @ @ @ @ @ @ @ @ @ @. ",0,death,collateral damage,sometimes_euph
over the hill,at that time this why they gave her a ticket to leave a america to hide the travesty. when she lost her next son it drove her <over the hill> to insanity and they knew that as fact,0,physical/mental attributes,over the hill,sometimes_euph
perish,"In all, four drivers would <perish> in the World Championship during the 1958 season. PatO'Connor would be the first to die as part of the World Championship. ",1,death,perish,sometimes_euph
dismissed,"The administration had first approved his departure, then opposed it. At Nichols College, outside Worcester, Massachusetts, a non-tenured professor who questioned the leadership of the college president was summarily <dismissed>. At Philander Smith College in Little Rock, two tenured professors and one non-tenured faculty member were fired last June and told to leave the campus the same day; they had complained to student newspapers and the trustees about the lack of academic freedom on campus. ",1,employment,dismissed,sometimes_euph
expecting,"Dear Michael, Thank you for your pipcture and for sharing wit with the world. My own son is 11 now and I recall seeing your lovely picture when I was <expecting> him and I felt a strong connection to it. Thank you also for your courageous and continuous fight for the truth. ",1,physical/mental attributes,expecting,sometimes_euph
comfort women,"By the way, Why the Chinese act so strongly to Japanese, I can tell you some true historical figures. More than @ @ @ @ @ @ @ @ @ @ and more than 200 thousand Chinese women were forced by Japanese to be <comfort women> (military prostitutes). But until now, the Japanese still refuse to make any formal apology to Chinese. ",1,sexual activity,comfort women,always_euph
expecting,"I can say, everything wrong to your body pregnancy contributes to, I must have had happen. And then, 2 of the little buggers didn't want to come out, so I was carrying for more than full term... I am so happy to NEVER go through it again and happy to share with anyone <expecting>. Melodie recently posted.. Am I Autistic too? ",1,physical/mental attributes,expecting,sometimes_euph
go all the way,"When I finally escaped that relationship at the age of fourteen, I had skewed ideas about sexual relations. Although Jerry never made me ""<go all the way>"", I had fooled around quite a bit. Finally, at the age of seventeen, I had my first girlfriend, whom I'll call Sarah. ",1,sexual activity,go all the way,sometimes_euph
sanitation workers,Hundreds of crores were spent to welcome the US President in February but the government is unable to provide proper protective gears to <sanitation workers> during this pandemic because in India the cheapest product is the life of a Dalit. @@71921041 Public Transport may open soon with riders: Gadkari,1,employment,sanitation worker,always_euph
pre-owned,"I don't do ""stuff"", not from an ideological standpoint but because it needs dusting. However I self-identify with the middle class because around 50% of my friends in America seemed concerned with the lack of the accoutrements in our old and obviously <pre-owned> home. Approximately another 50% thought the large rooms and high ceilings were a waste of space and fuel. ",1,physical/mental attributes,pre-owned,always_euph
freedom fighters,"The <Freedom Fighters> over t the FBI, teamed up with Bernanke's Bankastan Global (private ) bankers playing those mind games on the American ( consumers), formerly known as citizens. The Bernanke's Bankastan Bankers are the victims now. ",1,politics,freedom fighter,always_euph
pass away,Don't have a peaceful place to stay Let all fighting cease that your children may see peace Wipe their tears of sorrow away ( chorus ) To believe in a day When hunger and war will <pass away> To have the hope amidst despair That every sparrow's counted That you hear each cry and listen to each prayer,0,death,pass away,sometimes_euph
late,"The central bank has been on its toes throughout the month, cushioning sharp losses in the rupee through its interventions in the spot as well as derivatives market. In March, the RBI sold $17.33 bln, reducing its arsenal of foreign exchange reserves to $469.91 bln that they have been stocking up since <late> September. ",0,death,late,sometimes_euph
inebriated,"Mary, You are familiar with rhetoric, aren't you? The examples I have read re: women incapacitated are along this route (a great majority at least): Functions X and Y are presumed to be given equal response for similar situations Z. If X is presumed at fault for situation Z, then Y should be presumed at fault for situation Z. The reason they are saying this is because, in this case it is heavily presumed at this date that a woman can not give consent when <inebriated>. The commenters are not loooking for an excuse to get women drunk and take advantage of them, they are looking for the opposite reaction of men getting the same courtesy in the same situations. ",1,substances,inebriated,always_euph
aging,"The outside table has been super-soaked in wood sealer @ @ @ @ @ @ @ @ @ @ maybe with a tarp over winter. I don't mind some <aging>, just don't want it to rot! The chairs are on their way out, can't wait til they break down completely so I feel justified in replacing them. ",0,physical/mental attributes,aging,sometimes_euph
disabled,"I think these efforts are way overblown but I guess it makes Obama supporters feel productive. I understand that Team Obama has resorted to harvesting the votes of the mentally <disabled> in NC. Now that's ""productive,"" if you don't factor in the lawsuits filed by the families of the abused'comments... Loading comments... ",0,physical/mental attributes,disabled,sometimes_euph
freedom fighters,"Reuters reported that the ""eight boots on the ground"" are a U.S. assessment team comprised of four military personnel that is surveying the damaged U.S. embassy in Tripoli. Moreover @ @ @ @ @ @ @ @ @ @ the assessment team is in violation of Obama's decision not to send U.S. ground forces into Libya, ""When the president made his commitment no boots on the ground, that obviously had to do with entering into the fray between the Gaddafi forces and the Libyan <freedom fighters> and that's not what these guys are engaged in."" From Reuters: ",1,politics,freedom fighter,always_euph
disadvantaged,First you should probably never test on a movie. If a student missed a day then they are <disadvantaged>. I also made the quiz a bit hard and students could not answer some of the questions 4 or they had difficulty.,0,employment,disadvantaged,sometimes_euph
developing country,"For the numbers on $10 a day, see Martin Ravallion, Shaohua Chen and Prem Sangraula, Dollar a day revisited, World Bank, May 2008. They note that 95% of <developing country> population lived on less than $10 a day. Using 2005 population numbers, this is equivalent to just under 79.7% of world population, and does not include populations living on less than $10 a day from industrialized nations. ",1,politics,developed/ing country,always_euph
undocumented immigrants,"There is some good news. In June this year, President Obama signed an executive order preventing the Department of Homeland Security from deporting <undocumented immigrants> under 30 who came to the United States before they were 16 years old, and who fulfill a number of other criteria regarding their moral standing and education. ",1,politics,undocumented immigrant,always_euph
special needs,"While government benefits can help a disabled person meet basic income and medical needs, those benefits do not provide for extras that can make a substantial difference in a disabled person's quality of life. <Special needs> and supplemental needs trusts can fill in that gap. Specifically, the trustee of a special needs or supplemental needs trust can make disbursements to pay for caregivers (including family members) and personal services, educational and vocational services, pets and pet supplies, travel and vacations, recreation, the purchase and maintenance of a car or van and the purchase of gasoline to operate the vehicle, and other such expenses.",0,physical/mental attributes,special needs,sometimes_euph
special needs,"Just the tip: schools may not base <special needs> services solely on cognitive ability. If you disagree with their assessment, you can request an independent evaluation at the district's expense. ",0,physical/mental attributes,special needs,sometimes_euph
aging,I totally agree that smoking has a great effect on the skin. Smoking is one of the major culprits that trigger skin <aging>. So if you truly love your skin and if you want to look younger then quit smoking now.,0,physical/mental attributes,aging,sometimes_euph
neutralize,"No nation, empire or military force in history has been able to <neutralize> a resistance movement, and Israel is no exception. Add to this the fact that Israel has a relatively mediocre economy (ranked 39 in the world in GDP, Iran under the IR is ahead of it at 26) that is totally @ @ @ @ @ @ @ @ @ @ foreign aid for decades to come (which may or may not happen) Israel's military will not be able to sustain itself.",1,politics,neutralize,sometimes_euph
detention camp,"Moreover, your example with Hillary Transue is so @ @ @ @ @ @ @ @ @ @. Judge Ciavarella is a criminal who will spend much longer in prison than Transue did in <detention camp>. There is no real argument that Pennsylvania doesn't care about Hillary Transue's rights, nor for that matter about children's rights in general. ",1,politics,detention camp,always_euph
substance abuser,"As an example, physician and health care expert Michael Siegel found that the average cost to cure an alcohol-related illness is approximately $10,660. Another study found that the average cost to California hospitals of treating a <substance abuser> is about $8,360 for those in treatment, and $14,740 for those who are not. ",1,substances,substance abuser,always_euph
overweight,"I remember @ @ @ @ @ @ @ @ @ @ the doctor with my mom. The doctor asked (the quite <overweight>) me whether I knew I had lost 10 pounds. My mom jumped in and said, ""Oh, we don't pay attention to weight.. she's been swimming!"" Or something to that effect. ",0,physical/mental attributes,overweight,sometimes_euph
lavatory,"In order to guarantee your <lavatory> functions easily, ensure the sequence coupled to the deal with is of your correct size. @ @ @ @ @ @ @ @ @ @ likely have a drip between your container and also the basin, and when the sequence is way too long, you operate the chance of it capturing from the flapper. ",1,bodily functions,lavatory,always_euph
aging,"According to the Pentagon's account, the Predator was on a routine surveillance mission at about 4:50 a.m. EST over the Gulf on Nov. 1 and was operating at a distance of about 16 miles off the Iranian coastline when two of Iran's <aging>, Soviet-- made Sukhoi Su-25 Frogfoot attack planes approached. Continue reading... ",0,physical/mental attributes,aging,sometimes_euph
troubled,"I remembered You, God, and I groaned; I meditated, and my spirit grew faint. You kept my eyes from closing; I was too <troubled> to speak. I thought about the former days, the years of long ago; I remembered my songs in the night. ",0,physical/mental attributes,troubled,sometimes_euph
slept with,"Lassie trails behind the group, dreamily. With her curly, honey-colored hair and broad, open face, she couldn't be more different from her mother, who must have <slept with> some Scandinavian pretty-boy the night she conceived. I gather my bed roll and the small duffel packed with one-night necessities. ",1,sexual activity,sleep with,sometimes_euph
wealthy,"The plan was not only rejected by local residents, with the assistance of priests and student activists, but it touched off a massive social movement that focused a city-wide debate on urban development. While politicians promised that the highway would ""integrate"" poor areas into the city and denied any political or economic motivations behind the project, residents resisted the proposal as a road for the <wealthy> and as a threat to their homes. ",1,employment,wealthy,sometimes_euph
advanced age,"Check it out for yourself at https:// www.iardc.org/Stands for Illinois Attorney Registration And Disciplinary Committee. It's the official arm of lawyer discipline in Illinois; and they are very strict and mean as hell. (Talk about irony. ) Even I, at the <advanced age> of almost 65, maintain ( at the cost of approximately $600/year) my law license that I worked so hard and long to earn. ",1,physical/mental attributes,advanced age,always_euph
troubled,"Carey Foster, 51, a middle-school gym teacher in Roanoke Rapids, N.C., looks to his waistline in these <troubled> times. Says Foster: "" I compare a growth fund to my weight. ",0,physical/mental attributes,troubled,sometimes_euph
disabled,"The gun is fired by blowing into a mouthpiece on the headset. ""Anyone with mobility from the neck up can potentially compete at the highest level. I think the most valuable aspect of this technology is that... <disabled> and able-bodied sports do not need to be separate and that we can introduce sports that allow a much broader section of the population to participate together"", observed Colin McSwiggen who, along with Jeffrey Gough and Juhye Lee, developed the device to demonstrate how people living with quadriplegia could compete with able-bodied people in clay pigeon shooting. Brainsled ",0,physical/mental attributes,disabled,sometimes_euph
make love,"I know it's hard for her. ""Then I begin to feel angry at her too, for sharing that bath with Wendell. It was clever, though, it makes things clear."" But at least she doesn't have to hear us, ""I say."" We don't <make love> on the other side of her room, she doesn't have to listen to us. It was rude of you to do that just now! "" ",1,sexual activity,make love,always_euph
overweight,"We need more positive influences out there, and it has to start at a younger age. I see so many <overweight> children at the school I work with eating junk food. If we feed them more produce at an early age, we can set them on the right track for the rest of their lives. ",1,physical/mental attributes,overweight,sometimes_euph
experienced,"In particular, the burning of coal is said to create particulate matter and ozone in the lower atmosphere-- often <experienced> as' smog'-- which can affect humans, plants and regional climate. These pollutants (aerosols, ozone and other compounds) from coal burning can be damaging to human health when inhaled, and can also have negative effects on plant life. ",0,physical/mental attributes,experienced,sometimes_euph
disadvantaged,"""Ben Marcovitz, a founder of Collegiate Academies and principal at Sci Academy, has done what few others have. He started an open-admissions charter high school serving an economically <disadvantaged> student population, and proved that it is possible to take incoming freshmen reading at the fourth-grade level and achieve three-and-a-half grade levels of growth in one year. Sci Academy, without having a high-performing feeder school to send in students on grade level, is one of the highest performing, nonselective high schools in New Orleans."" I wanted to create a high school model that was relentlessly focused on closing the achievement gap for our scholars, a school that flips the academic trajectories of our scholars from being four or five @ @ @ @ @ @ @ @ @ @ college when they graduate, ""Marcovitz says.""",1,employment,disadvantaged,sometimes_euph
weed,"Row spacing wider than 40 centimeters (16 inches) promotes branching and increases seed yield, particularly during drought conditions. At low plant densities common in seed fields, the hemp crop may not suppress <weed> growth, and cultivation or herbicides are often used to control weeds in traditional European hemp seed production. Tall, heavily branched hemp plants are difficult to harvest with conventional combines, and in many countries hemp planting seed is still harvested by hand. ",0,substances,weed,sometimes_euph
developed country,"no, actually Israel is by far the most <developed country> in the Middle East. And the freest. ",1,politics,developed/ing country,always_euph
same-sex,"So, for instance, when the study finds that children who have had a parent in a <same-sex> romantic relationship are much more likely to suffer from depression as young adults than the children who come from IBFs, this does not claim that the gay parent was the cause of the depression in his or her child; simply that such children on average have more depression, for reasons unidentified by the study.",1,sexual activity,same-sex,sometimes_euph
golden years,"I'm retired after 30 years of service to the citizens of our state and community-- each month I have to decide what are more important, groceries or prescription medications. Past President's, Senator's and Representative's can retire after 8 years with greater benefits than I receive; and they don't have to worry about whether or not there is Social Security and Medicaid when they hit their 60's, because they voted themselves a much better package for their financial and health situation in their <golden years>. Let's face it, our leaders SUCK in this country-- Republicans and Democrats. ",1,physical/mental attributes,golden years,always_euph
